domain,ttl,ip_count,ns_count,label
gbpp.dfhijjew.cn,180.0,13,4,1
kxzn.dfhijjew.cn,180.0,13,4,1
kgg.dfhijjew.cn,180.0,13,4,1
khzw.dfhijjew.cn,180.0,13,4,1
kfh.dfhijjew.cn,180.0,13,4,1
sfj.dfhijjew.cn,180.0,12,4,1
scvw.dfhijjew.cn,180.0,13,4,1
rfc.dfhijjew.cn,180.0,13,4,1
rpdf.dfhijjew.cn,180.0,13,4,1
rlq.dfhijjew.cn,180.0,13,4,1
rlyw.dfhijjew.cn,180.0,13,4,1
rwr.dfhijjew.cn,180.0,13,4,1
rob.dfhijjew.cn,180.0,12,4,1
slj.fxwjjmcf.cn,180.0,13,4,1
saw.fxwjjmcf.cn,180.0,13,4,1
bkzm.fxwjjmcf.cn,180.0,13,4,1
bfy.fxwjjmcf.cn,180.0,13,4,1
slo.fxwjjmcf.cn,180.0,13,4,1
siub.fxwjjmcf.cn,180.0,13,4,1
tjpq.fxwjjmcf.cn,180.0,13,4,1
tefp.fxwjjmcf.cn,180.0,12,4,1
tvxk.fxwjjmcf.cn,180.0,13,4,1
tur.fxwjjmcf.cn,180.0,13,4,1
rpxb.fxwjjmcf.cn,180.0,13,4,1
rqwu.fxwjjmcf.cn,164.0,13,4,1
ryz.fxwjjmcf.cn,180.0,13,4,1
rlwt.fxwjjmcf.cn,180.0,13,4,1
ruct.fxwjjmcf.cn,180.0,13,4,1
ruho.fxwjjmcf.cn,180.0,13,4,1
rzpv.fxwjjmcf.cn,180.0,13,4,1
rdao.fxwjjmcf.cn,180.0,13,4,1
kqbg.fxwjjmcf.cn,180.0,13,4,1
ktv.fxwjjmcf.cn,180.0,13,4,1
tblg.idwjklwd.cn,180.0,13,4,1
tvf.idwjklwd.cn,180.0,13,4,1
srw.idwjklwd.cn,180.0,13,4,1
swv.idwjklwd.cn,180.0,13,4,1
tka.idwjklwd.cn,180.0,13,4,1
tjuq.idwjklwd.cn,180.0,13,4,1
bjiz.idwjklwd.cn,180.0,13,4,1
brk.idwjklwd.cn,174.0,13,4,1
khe.idwjklwd.cn,180.0,13,4,1
kyj.idwjklwd.cn,180.0,13,4,1
kfif.idwjklwd.cn,180.0,12,4,1
kjd.idwjklwd.cn,180.0,13,4,1
ger.idwjklwd.cn,180.0,13,4,1
gwis.idwjklwd.cn,180.0,13,4,1
